Categoría,Título,Copete,Link
opinion,En busca de Nayib Bukele,"El presidente de El Salvador hizo levantar una enorme y moderna cárcel para 40.000 presos detectados como maras en condiciones duras, inflexibles. Se asegura por versiones confiables que pactó con los jefes maras dejarlos marchar hacia los Estados Unidos",https://www.infobae.com/ultimas-noticias//opinion/2023/05/12/en-busca-de-nayib-bukele/
politica,"Quién es Francisco Paoltroni, el productor agropecuario que desafía al poder de Gildo Insfrán en Formosa","Fundó un partido nuevo y será candidato a gobernador para tratar de desplazar al mandatario peronista que está en el poder desde hace 28 años. Ante Infobae, anticipó su presentación ante la Corte para impugnarlo y cuáles son sus ideas para la provincia",https://www.infobae.com/ultimas-noticias//politica/2023/05/12/quien-es-francisco-paoltroni-el-productor-agropecuario-que-desafia-al-poder-de-gildo-insfran-en-formosa/
leamos,"La Feria del Libro en fotos: Kicillof de visita, títulos que se agotan y una denuncia sobre el acceso a la vivienda",El máximo evento cultural argentino entra en su tramo final y acaba de entregar su premio a los libros de cuento. Todavía quedan visitas centrales.,https://www.infobae.com/ultimas-noticias//leamos/2023/05/12/la-feria-del-libro-en-fotos-kicillof-de-visita-titulos-que-se-agotan-y-una-denuncia-sobre-el-acceso-a-la-vivienda/
leamos,Mayo del 68: cuatro libros de no ficción para conmemorar los 55 años de la protesta estudiantil que cambió el mundo,"En Infobae Leamos hemos querido rescatar algunos títulos que les permitirán a los lectores comprender las dimensiones de este hito y ver cómo, a día de hoy, seguimos emprendiendo las mismas luchas que entonces",https://www.infobae.com/ultimas-noticias//leamos/2023/05/12/mayo-del-68-cuatro-libros-de-no-ficcion-para-conmemorar-los-55-anos-de-la-protesta-estudiantil-que-cambio-el-mundo/
leamos,Programa de la Feria del Libro 2023 para hoy: 12 de mayo,"En el stand de Leamos-Bajalibros estarán Mauricio Kartun, Lucía Salinas, Pablo Perantuono y Leila Sucari. Además, en la Feria, jornadas por los 40 años de democracia, charlas y sorteos con bookfluencers, mesas sobre astrología, un homenaje a Noé Jitrik y mucho más.",https://www.infobae.com/ultimas-noticias//leamos/2023/05/12/programa-de-la-feria-del-libro-2023-para-hoy-12-de-mayo/
leamos,El feminismo en la Feria del Libro: de las pioneras de hace siglos a los escraches de nuestros días,"Desde los primeros manifiestos de las mujeres que iniciaron la lucha hasta las discusiones actuales, una guía para no perderse lo más importante de lo que puede conseguirse en los stands de La Rural.",https://www.infobae.com/ultimas-noticias//leamos/2023/05/12/el-feminismo-en-la-feria-del-libro-de-las-pioneras-de-hace-siglos-a-los-escraches-de-nuestros-dias/
deportes,“Sobrenatural”: las dos increíbles anécdotas sobre el “ojo clínico” del Bichi Borghi para detectar futbolistas en contextos insólitos,Un periodista chileno reveló historias desconocidas junto al ex futbolista y entrenador. Cómo se dio cuenta si un jugador era bueno y su obsesión por acertar el puesto de otro en un aeropuerto,https://www.infobae.com/ultimas-noticias//deportes/2023/05/12/sobrenatural-las-dos-increibles-anecdotas-sobre-el-ojo-clinico-del-bichi-borghi-para-detectar-futbolistas-en-contextos-insolitos/
educacion,Gustavo Zorzoli: “Cerca de la mitad de los adolescentes está fuera del sistema educativo”,"En la tercera jornada del Seminario de Innovación educativa de Ticmas en la Feria del Libro, María Laura Santillán entrevistó Gustavo Zorzoli, ex rector del Colegio Nacional Buenos Aires. Además, Andrés Delich, secretario general adjunto de la OEI, envió un mensaje grabado para el público.",https://www.infobae.com/ultimas-noticias//educacion/2023/05/12/gustavo-zorzoli-cerca-de-la-mitad-de-los-adolescentes-esta-fuera-del-sistema-educativo/
salud,"Qué es el SIBO, cuáles son sus síntomas y cómo impacta en la salud",El sobrecrecimiento bacteriano en el intestino delgado es un trastorno que puede aparecer por una complicación tras una cirugía o por una enfermedad que afecta el trabajo del tubo digestivo. Cuáles son los aspectos a tener en cuenta ante esta patología,https://www.infobae.com/ultimas-noticias//salud/2023/05/12/que-es-el-sibo-cuales-son-sus-sintomas-y-como-impacta-en-la-salud/
salud,Qué es el Síndrome de Fatiga Crónica y cuáles son sus síntomas,"En el día mundial de esta patología, cuáles son las causas de esta enfermedad crónica y por qué los expertos advierten que es altamente invalidante",https://www.infobae.com/ultimas-noticias//salud/2023/05/12/que-es-el-sindrome-de-fatiga-cronica-y-cuales-son-sus-sintomas/
